歌名,歌手
永生亦永罪 - (《世界之外》「此间即无间」版本主题歌),世界之外
男人书 - (弯路),WilB da water
上海滩 (live),容祖儿/薛凯琪/卫兰/李宇春/周笔畅/欧阳震华/黄雅莉/全体观众
"月光凉,落满窗",泡芙芙Scarlett
云和雨 typebeat,Zy
终身美丽 (live),容祖儿/李宇春
记忆闪帧,UM
toxic till the end,ROSÉ
The Line - (《英雄联盟:双城之战》动画第二季原声),twenty one pilots
Gunz N Smoke,Snoop Dogg/Dr. Dre/50 Cent/Eminem
我好想你 (苏打绿版) - (I Miss You So (sodagreen Version)),苏打绿
我们的时光+彩虹下面（Live版),赵雷
悲伤的饺子,黄金玉米王
多巴胺,Mr.岑/烟(许佳豪)
灰色轨迹 (live),卫兰/李治廷
你不用懂,J. Sheon
crow. - (乌鸦),8bite
野百合也有春天,万向乐队
爱的就是你,崔十八/听潮阁
Love in the Dark (Acoustic),MADILYN
孤单疗愈手术,何秋亊
摇晃晃 (Live版),陈嘉桦/王靖雯不胖
人为财死 鸟为食亡 - (升音Ver.),升音 Sound/mac ova seas
12号,周柏豪
