466,兵临城下,8.4
467,盗火线,8.5
468,弗里达,8.7
469,天伦之旅,8.6
470,僵尸新娘,8.3
471,王牌对王牌,8.5
472,百变狸猫,8.6
473,紫日,8.5
474,永恒和一日,9.1
475,我的1919,8.6
476,春夏秋冬又一春,8.5
477,萨利机长,8.3
478,芝加哥七君子审判,8.6
479,薄荷糖,8.6
480,少年的你,8.2
481,十二怒汉,9.3
482,乔乔的异想世界,8.3
483,鳄鱼波鞋走天涯,9.1
484,好家伙,8.5
485,结婚礼服,8.6
486,顽主,8.4
487,午夜巴黎,8.3
488,面纱,8.3
489,追梦赤子心,8.8
490,魔鬼代言人,8.4
491,昨天,8.7
492,老男孩,8.3
493,黑社会2：以和为贵,8.3
494,相爱相亲,8.3
495,一代宗师,8.2
496,爱,8.6
497,爱在暹罗,8.3
498,换子疑云,8.4
499,少年斯派维的奇异旅行,8.5
500,夜访吸血鬼,8.3
501,成为简·奥斯汀,8.3
502,立春,8.3
503,天下无贼,8.2
504,现代启示录,8.5
505,狗十三,8.2
506,暴裂无声,8.2
507,曾经,8.3
508,铁甲钢拳,8.3
509,幸福的拉扎罗,8.5
510,秋日奏鸣曲,9.1
511,阳光小美女,8.3
512,飓风营救,8.3
513,冒牌上尉,8.6
514,天才少女,8.3
515,茜茜公主,8.5
516,镜子,9.0
517,黄飞鸿之二：男儿当自强,8.3
518,穿普拉达的女王,8.2
519,天浴,8.4
520,天才枪手,8.2
521,东京家族,8.8
522,为奴十二年,8.3
523,冬冬的假期,8.8
524,喜丧,8.8
525,狗镇,8.4
526,苦月亮,8.4
527,无间道3：终极无间,8.2
528,十二夜,8.3
529,红鳉鱼,9.0
530,一九四二,8.2
531,师父,8.2
532,丹麦女孩,8.3
533,无主之作,8.6
534,伴你高飞,8.8
535,大决战之淮海战役,9.0
536,单身男子,8.5
537,百元之恋,8.3
538,理智与情感,8.4
539,姊姊妹妹站起来,9.2
540,布达佩斯之恋,8.6
541,嘉年华,8.2
542,集结号,8.2
543,魔术师,8.6
544,社交网络,8.2
545,苏州河,8.2
546,人鬼情未了,8.3
547,月升王国,8.4
548,X战警：逆转未来,8.2
549,梦,8.7
550,剃头匠,9.2
551,永不妥协,8.5
552,猩球崛起,8.2
553,美国X档案,8.5
554,我是传奇,8.2
555,暗花,8.3
556,普罗旺斯的夏天,8.4
557,K星异客,8.5
558,斗牛,8.2
559,杰伊·比姆,8.7
560,站台,8.4
561,铁拳男人,8.8
562,独自等待,8.2
563,桃色公寓,8.8
564,天佑鲍比,8.9
565,洗澡,8.4
566,兹山鱼谱,8.8
567,大路,8.9
568,焦土之城,8.6
569,X战警：第一战,8.2
570,诗,8.7
571,编舟记,8.6
572,夜行者,8.3
573,年会不能停！,8.1
574,那些年，我们一起追的女孩,8.1
575,爱情神话,8.1
576,小岛惊魂,8.2
577,完美的日子,8.5
578,超时空接触,8.4
579,追风筝的人,8.2
580,天才瑞普利,8.3
581,逃离德黑兰,8.2
582,黄飞鸿之三：狮王争霸,8.2
583,危情十日,8.5
584,关于我母亲的一切,8.6
585,跛豪,8.3
586,利刃出鞘,8.1
587,蓝白红三部曲之白,8.4
588,起风了,8.2
589,我的父亲母亲,8.2
590,八月迷情,8.3
591,情人,8.2
592,如晴天，似雨天,8.3
593,云图,8.1
594,李米的猜想,8.1
595,听说,8.1
596,孔雀,8.2
597,一树梨花压海棠,8.2
598,骗中骗,8.7
599,归来,8.1
600,当哈利遇到莎莉,8.3
1,肖申克的救赎,9.7
2,霸王别姬,9.6
3,控方证人,9.6
4,泰坦尼克号,9.5
5,阿甘正传,9.5
6,美丽人生,9.5
7,辛德勒的名单,9.5
8,茶馆,9.6
9,这个杀手不太冷,9.4
10,千与千寻,9.4
11,盗梦空间,9.4
12,星际穿越,9.4
13,楚门的世界,9.4
14,忠犬八公的故事,9.4
15,大闹天宫,9.4
16,背靠背，脸对脸,9.5
17,十二怒汉,9.4
18,无间道,9.3
19,高山下的花环,9.5
20,海上钢琴师,9.3
21,末代皇帝,9.3
22,活着,9.3
23,放牛班的春天,9.3
24,触不可及,9.3
25,鬼子来了,9.3
26,教父,9.3
27,熔炉,9.3
28,指环王3：王者无敌,9.3
29,乱世佳人,9.3
30,素媛,9.3
31,海蒂和爷爷,9.3
32,钢琴家,9.3
33,教父2,9.3
34,三傻大闹宝莱坞,9.2
35,当幸福来敲门,9.2
36,饮食男女,9.2
37,蝙蝠侠：黑暗骑士,9.2
38,摩登时代,9.3
39,指环王2：双塔奇兵,9.2
40,死亡诗社,9.2
41,芙蓉镇,9.3
42,天堂电影院,9.2
43,辩护人,9.2
44,穿条纹睡衣的男孩,9.2
45,窃听风暴,9.2
46,横空出世,9.4
47,小鞋子,9.2
48,少年派的奇幻漂流,9.1
49,怦然心动,9.1
50,七武士,9.3
51,飞屋环游记,9.1
52,猫鼠游戏,9.1
53,何以为家,9.1
54,好东西,9.1
55,罗马假日,9.1
56,闻香识女人,9.1
57,指环王1：护戒使者,9.1
58,美丽心灵,9.1
59,一一,9.1
60,拯救大兵瑞恩,9.1
61,音乐之声,9.1
62,两杆大烟枪,9.1
63,飞越疯人院,9.1
64,南海十三郎,9.3
65,城市之光,9.3
66,美国往事,9.1
67,我不是药神,9.0
68,狩猎,9.1
69,让子弹飞,9.0
70,未麻的部屋,9.1
71,摔跤吧！爸爸,9.0
72,忠犬八公物语,9.2
73,无人知晓,9.1
74,春光乍泄,9.0
75,完美的世界,9.1
76,本杰明·巴顿奇事,9.0
77,搏击俱乐部,9.0
78,心灵捕手,9.0
79,喜宴,9.0
80,超脱,9.0
81,城南旧事,9.1
82,小森林 夏秋篇,9.0
83,玛丽和马克思,9.0
84,绿皮书,8.9
85,教父3,9.0
86,小森林 冬春篇,9.0
87,无间道(正序版),9.2
88,我是山姆,9.0
89,控方证人,9.4
90,情书,8.9
91,甜蜜蜜,8.9
92,生活多美好,9.3
93,禁闭岛,8.9
94,西西里的美丽传说,8.9
95,布达佩斯大饭店,8.9
96,蝴蝶效应,8.9
97,沉默的羔羊,8.9
98,上帝之城,9.0
99,致命魔术,8.9
100,低俗小说,8.9
101,致命ID,8.9
102,末路狂花,9.0
103,杀人回忆,8.9
104,蝙蝠侠：黑暗骑士崛起,8.9
105,入殓师,8.9
106,菊次郎的夏天,8.9
107,牧马人,9.1
108,爱在日落黄昏时,8.9
109,牯岭街少年杀人事件,8.9
110,第六感,8.9
111,7号房的礼物,8.9
112,可可西里,8.9
113,东京教父,9.0
114,勇敢的心,8.9
115,一个叫欧维的男人决定去死,8.9
116,机器人之梦,9.0
117,侧耳倾听,8.9
118,新世界,8.9
119,爱在午夜降临前,8.9
120,悲情城市,9.0
121,莫娣,9.1
122,东京物语,9.1
123,喜剧之王,8.8
124,绿里奇迹,8.9
125,重庆森林,8.8
126,寄生虫,8.8
127,你看起来好像很好吃,8.9
128,卢旺达饭店,8.9
129,看不见的客人,8.8
130,花样年华,8.8
131,阳光灿烂的日子,8.8
132,心迷宫,8.8
133,七宗罪,8.8
134,无间道2,8.8
135,纵横四海,8.8
136,黑镜：圣诞特别篇,9.1
137,请以你的名字呼唤我,8.8
138,奥本海默,8.8
139,断背山,8.8
140,爱在黎明破晓前,8.8
